utility_type,given_flat_id,year_month,opening_reading,closing_reading,monthly_reading,opening_timestamp,closing_timestamp,computed_at
Electricity,Aquamarine1804,2026-02,16777.89,17068.56,290.67,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal701-F,2026-02,316.83,322.61,5.78,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine604,2026-02,110.43,114.97,4.54,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum1907-D,2026-02,38061.31,38292.47,231.16,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise707,2026-02,32748.9,32790.37,41.47,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal604,2026-02,16431.36,16668.94,237.58,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal904,2026-02,15196.63,15452.02,255.39,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1908-D,2026-02,104.68,104.7,0.02,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade905,2026-02,389.64,399.46,9.82,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1806-D,2026-02,106.44,108.89,2.45,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,JadeG008,2026-02,454293,458852,4559,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby402,2026-02,6499.86,6605.86,106,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1001,2026-02,6668.82,6744.91,76.09,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1808-E,2026-02,290.05,291.8,1.75,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1910-E,2026-02,225.89,232.28,6.39,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal510-F,2026-02,23517.4,23616.81,99.41,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal1207-F,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal1305,2026-02,29.12,36.24,7.12,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal703,2026-02,50953,55840,4887,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal101,2026-02,74829,85933,11104,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst208,2026-02,49.81,52.99,3.18,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,PlatinumG009,2026-02,79252,79252,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Electricity,Jade1703,2026-02,10302.22,10413.05,110.83,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,AmethystG07,2026-02,16046.03,16189.33,143.3,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1207,2026-02,37.8,39.92,2.12,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise209,2026-02,208.24,213.1,4.86,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine601,2026-02,87.14,90.95,3.81,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine101,2026-02,47.06,0,-47.06,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise204,2026-02,4579.86,4778.28,198.42,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1107-D,2026-02,100.2,103.19,2.99,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade205,2026-02,1074935,1090322,15387,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine1608,2026-02,112579,123724,11145,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine1404,2026-02,595724,607234,11510,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby801,2026-02,9080.48,9317.97,237.49,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby1410,2026-02,174256,193809,19553,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1904-E,2026-02,82.79,83.83,1.04,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal408-F,2026-02,56848,58041,1193,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal1705-F,2026-02,41381,41607,226,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1203,2026-02,269644,273964,4320,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum610-D,2026-02,501776,508558,6782,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,OpalG04,2026-02,789,441,-348,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum1408,2026-02,71837,72641,804,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,PlatinumG001,2026-02,59077,59077,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Gas,Platinum1907,2026-02,95191,95191,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Gas,Platinum1607,2026-02,340085,340085,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Electricity,Jade108,2026-02,15834.29,15953.14,118.85,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby905,2026-02,83.02,87.69,4.67,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby509,2026-02,69.77,73.2,3.43,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby1103,2026-02,14.49,16.72,2.23,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1305,2026-02,9854.11,10007.77,153.66,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine609,2026-02,13268.32,13505.77,237.45,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1405,2026-02,16682.94,16911.14,228.2,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby602,2026-02,5782.54,6005.12,222.58,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine1305,2026-02,72.5,75.35,2.85,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise705,2026-02,41303.11,41534.11,231,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise808,2026-02,14221.74,14356.12,134.38,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1403,2026-02,7178.57,7221.55,42.98,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1204,2026-02,3969.84,4050.33,80.49,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1602,2026-02,6327.1,6430.52,103.42,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1601-D,2026-02,138.67,150.01,11.34,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade506,2026-02,252.1,264.39,12.29,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade310,2026-02,10951.88,11106.5,154.62,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby1206,2026-02,266359,274824,8465,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl103-E,2026-02,66.2,66.66,0.46,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal508-F,2026-02,12946.32,13093.34,147.02,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal104-F,2026-02,809965,814097,4132,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal1308,2026-02,63321,72155,8834,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum101,2026-02,84696,85425,729,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum102,2026-02,70274,71871,1597,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum105,2026-02,128417,128417,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Gas,PlatinumG002,2026-02,511904,511904,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Diesel,Jade1902,2026-02,359.18,367.4,8.22,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum401,2026-02,697.46,700.24,2.78,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum303,2026-02,356.8,359.21,2.41,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise903,2026-02,138.91,141.64,2.73,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise109,2026-02,199.16,208.45,9.29,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine1008,2026-02,44.48,48.16,3.68,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal808-F,2026-02,28.35,28.95,0.6,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise1407,2026-02,2915.14,3063.57,148.43,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum701-D,2026-02,585.11,589.99,4.88,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade802,2026-02,6116.38,6261.92,145.54,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade1607,2026-02,19037.15,19202.32,165.17,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade504,2026-02,18353.43,18477.58,124.15,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine808,2026-02,746621,764913,18292,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1810,2026-02,10884.87,11145.44,260.57,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1609,2026-02,7521.35,7711.32,189.97,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1707,2026-02,5701.68,165.38,-5536.3,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1508,2026-02,4664.02,4776.76,112.74,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1105-E,2026-02,46.77,49.97,3.2,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal303-F,2026-02,554291,554291,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1305,2026-02,1190628,1207213,16585,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1904,2026-02,1281366,1297798,16432,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal1501,2026-02,71.81,77.46,5.65,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal808,2026-02,114445,114445,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal1905,2026-02,412044,420476,8432,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal809,2026-02,162826,183285,20459,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum1510,2026-02,109133,109133,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Gas,Platinum1106,2026-02,164460,164460,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Diesel,Aquamarine809,2026-02,66.5,67.79,1.29,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum907-D,2026-02,155.63,3.88,-151.75,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum503-D,2026-02,238.27,242.11,3.84,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade1409,2026-02,23112.46,23339.52,227.06,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade1703,2026-02,498917,503484,4567,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Amethyst1705,2026-02,826198,838288,12090,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby1001,2026-02,240498,243329,2831,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby303,2026-02,500571,517421,16850,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby308,2026-02,521372,538584,17212,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1504-E,2026-02,14.5,22.15,7.65,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1705-E,2026-02,638.31,644.81,6.5,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl1301-E,2026-02,26249.26,26455.46,206.2,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise710,2026-02,1188837,1203423,14586,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal1701,2026-02,76.78,84.4,7.62,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst604,2026-02,116.42,119.75,3.33,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal1008,2026-02,808669,825934,17265,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum206,2026-02,114065,114065,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Diesel,Ruby208,2026-02,0.48,8.39,7.91,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,RubyM 903,2026-02,46.18,51.1,4.92,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine602,2026-02,9532.12,9657.2,125.08,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1006,2026-02,16341.62,16504.45,162.83,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum1502,2026-02,406.65,411.47,4.82,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise1308,2026-02,126.17,128.98,2.81,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise1702,2026-02,135.13,136.92,1.79,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine301,2026-02,116.05,0,-116.05,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl1902-E,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl1402-E,2026-02,994669,8491,-986178,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl109-E,2026-02,89844,89910,66,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum304-D,2026-02,80.64,81.29,0.65,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade908,2026-02,23235.63,23404.94,169.31,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine1609,2026-02,73782,84011,10229,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby306,2026-02,44.93,45.03,0.1,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby706,2026-02,380549,394017,13468,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl806-E,2026-02,349.63,357.6,7.97,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl504-E,2026-02,232.12,237,4.88,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1402,2026-02,794636,803340,8704,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1709,2026-02,687074,687074,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal1105,2026-02,66.22,72.67,6.45,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst1409,2026-02,130.95,136.96,6.01,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst1903,2026-02,104.33,105.38,1.05,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst805,2026-02,144.21,149.47,5.26,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum707,2026-02,69005,69005,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Diesel,Ruby1803,2026-02,34.95,38.56,3.61,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1604,2026-02,4208.39,4369.66,161.27,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1906,2026-02,19917.9,20226.24,308.34,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal210-F,2026-02,24.96,32.24,7.28,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl709-E,2026-02,101315,102171,856,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise907,2026-02,23243.64,23397.77,154.13,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise1104,2026-02,33421.86,33550.89,129.03,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise609,2026-02,31900.4,31940.44,40.04,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1003,2026-02,10963.91,11138.69,174.78,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine1004,2026-02,717388,735313,17925,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl906-E,2026-02,162.86,168.64,5.78,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal1607-F,2026-02,135939,137453,1514,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal1806-F,2026-02,71083,71708,625,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,TurquoiseG05,2026-02,285308,285308,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum308-D,2026-02,565957,570379,4422,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum507-D,2026-02,944970,961809,16839,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum909-D,2026-02,929756,937246,7490,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal1807,2026-02,148523,162206,13683,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal410,2026-02,42343,42869,526,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum1108,2026-02,301638,310421,8783,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum1304,2026-02,95356,95356,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Gas,Platinum201,2026-02,77879,77879,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Electricity,Jade602,2026-02,18531.22,18565.22,34,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,AquamarineG02,2026-02,137.81,0,-137.81,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby408,2026-02,415001,424607,9606,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,AurumG003,2026-02,197.06,201.94,4.88,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal405-F,2026-02,380.97,388.57,7.6,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise408,2026-02,102.31,103.02,0.71,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise1510,2026-02,122.95,127.02,4.07,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl1610-E,2026-02,677172,677172,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl1007-E,2026-02,383121,401146,18025,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise1602,2026-02,10266.72,10437.74,171.02,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise403,2026-02,20007.61,20206.03,198.42,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1901-D,2026-02,161.26,169.04,7.78,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum209-D,2026-02,58.64,58.64,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade906,2026-02,26815.04,27075.56,260.52,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1602,2026-02,2630.11,2689.91,59.8,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1801-E,2026-02,72.26,78.76,6.5,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst1103,2026-02,121.57,127.88,6.31,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal1901,2026-02,82524,93572,11048,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum910,2026-02,78059,78948,889,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum702,2026-02,100751,101502,751,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum1008,2026-02,87892,89841,1949,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby1509,2026-02,80.89,90.09,9.2,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1703,2026-02,7478.62,7548.19,69.57,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine603,2026-02,15457.15,15627.96,170.81,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1808,2026-02,5525.35,5633.99,108.64,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine106,2026-02,9817.33,0,-9817.33,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal609-F,2026-02,389.23,393.07,3.84,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal1008-F,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine1905,2026-02,143.19,148.25,5.06,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1908,2026-02,4815.7,4952.55,136.85,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum302-D,2026-02,411.28,413.48,2.2,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1009-D,2026-02,211.18,219.13,7.95,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade109,2026-02,669535,678636,9101,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
