Type_of_utility,given_flat_id,date,starting_reading,closing_reading
Diesel,Aurum1905,12-01-2025,326.89,326.9
Diesel,Aurum1906,12-01-2025,67.94,67.94
Diesel,Aurum1907,12-01-2025,531.88,531.88
Diesel,Aurum1908,12-01-2025,409.29,409.29
Diesel,Aurum1909,12-01-2025,238.62,238.62
Diesel,Aurum1910,12-01-2025,697.15,697.15
Diesel,AurumG001,12-02-2025,274.16,274.16
Diesel,AurumG002,12-02-2025,103.03,103.03
Diesel,AurumG003,12-02-2025,195.74,195.74
Diesel,AurumG004,12-02-2025,275.79,275.79
Diesel,AurumG005,12-02-2025,489.08,489.08
Diesel,AurumG006,12-02-2025,35.56,35.56
Diesel,AurumG007,12-02-2025,358.54,358.54
Diesel,AurumG008,12-02-2025,0.0,0.0
Diesel,AurumG009,12-02-2025,328.06,328.06
Diesel,AurumG010,12-02-2025,132.35,132.35
Diesel,Aurum101,12-02-2025,413.7,413.7
Diesel,Aurum102,12-02-2025,543.88,543.88
Diesel,Aurum103,12-02-2025,210.25,210.25
Diesel,Aurum104,12-02-2025,388.74,388.74
Diesel,Aurum105,12-02-2025,25.55,25.55
Diesel,Aurum106,12-02-2025,510.37,510.37
Diesel,Aurum107,12-02-2025,588.94,588.94
Diesel,Aurum108,12-02-2025,616.47,616.47
Diesel,Aurum109,12-02-2025,205.14,205.14
Diesel,Aurum110,12-02-2025,421.55,421.55
Diesel,Aurum201,12-02-2025,334.89,334.89
Diesel,Aurum202,12-02-2025,239.95,239.95
Diesel,Aurum203,12-02-2025,319.65,319.65
Diesel,Aurum204,12-02-2025,414.34,414.34
Diesel,Aurum205,12-02-2025,62.82,62.82
Diesel,Aurum206,12-02-2025,696.28,696.28
Diesel,Aurum207,12-02-2025,446.1,446.1
Diesel,Aurum208,12-02-2025,163.2,163.2
Diesel,Aurum209,12-02-2025,431.24,431.24
Diesel,Aurum210,12-02-2025,583.9,583.9
Diesel,Aurum301,12-02-2025,369.62,369.62
Diesel,Aurum302,12-02-2025,403.44,403.44
Diesel,Aurum303,12-02-2025,353.03,353.03
Diesel,Aurum304,12-02-2025,129.9,129.9
Diesel,Aurum305,12-02-2025,526.93,526.93
Diesel,Aurum306,12-02-2025,356.81,356.81
Diesel,Aurum307,12-02-2025,406.87,406.87
Diesel,Aurum308,12-02-2025,170.05,170.05
Diesel,Aurum309,12-02-2025,268.59,268.59
Diesel,Aurum310,12-02-2025,404.92,404.92
Diesel,Aurum401,12-02-2025,689.2,689.2
Diesel,Aurum402,12-02-2025,339.54,339.54
Diesel,Aurum403,12-02-2025,314.68,314.68
Diesel,Aurum404,12-02-2025,377.47,377.47
Diesel,Aurum405,12-02-2025,795.87,795.87
Diesel,Aurum406,12-02-2025,60.14,60.14
Diesel,Aurum407,12-02-2025,608.44,608.44
Diesel,Aurum408,12-02-2025,268.25,268.25
Diesel,Aurum409,12-02-2025,328.53,328.53
Diesel,Aurum410,12-02-2025,534.42,534.42
Diesel,Aurum501,12-02-2025,471.89,471.89
Diesel,Aurum502,12-02-2025,274.53,274.53
Diesel,Aurum503,12-02-2025,198.48,198.48
Diesel,Aurum504,12-02-2025,414.88,414.88
Diesel,Aurum505,12-02-2025,524.77,524.77
Diesel,Aurum506,12-02-2025,613.2,613.2
Diesel,Aurum507,12-02-2025,563.95,563.95
Diesel,Aurum508,12-02-2025,202.02,202.02
Diesel,Aurum509,12-02-2025,337.15,337.15
Diesel,Aurum510,12-02-2025,39.54,39.54
Diesel,Aurum601,12-02-2025,726.64,726.64
Diesel,Aurum602,12-02-2025,7.2,7.2
Diesel,Aurum603,12-02-2025,322.77,322.77
Diesel,Aurum604,12-02-2025,324.32,324.32
Diesel,Aurum605,12-02-2025,458.38,458.38
Diesel,Aurum606,12-02-2025,585.52,585.52
Diesel,Aurum607,12-02-2025,622.26,622.26
Diesel,Aurum608,12-02-2025,358.03,358.03
Diesel,Aurum609,12-02-2025,22.91,22.91
Diesel,Aurum610,12-02-2025,443.07,443.07
Diesel,Aurum701,12-02-2025,303.28,303.28
Diesel,Aurum702,12-02-2025,303.65,303.65
Diesel,Aurum703,12-02-2025,472.23,472.23
Diesel,Aurum704,12-02-2025,244.16,244.16
Diesel,Aurum705,12-02-2025,309.83,309.83
Diesel,Aurum706,12-02-2025,378.16,378.16
Diesel,Aurum707,12-02-2025,375.06,375.06
Diesel,Aurum708,12-02-2025,294.18,294.18
Diesel,Aurum709,12-02-2025,482.51,482.51
Diesel,Aurum710,12-02-2025,683.8,683.8
Diesel,Aurum801,12-02-2025,398.47,398.47
Diesel,Aurum802,12-02-2025,355.44,355.44
Diesel,Aurum803,12-02-2025,174.59,174.59
Diesel,Aurum804,12-02-2025,389.11,389.11
Diesel,Aurum805,12-02-2025,233.14,233.14
Diesel,Aurum806,12-02-2025,601.44,601.44
Diesel,Aurum807,12-02-2025,446.36,446.36
Diesel,Aurum808,12-02-2025,440.56,440.56
Diesel,Aurum809,12-02-2025,318.58,318.58
Diesel,Aurum810,12-02-2025,368.54,368.54
Diesel,Aurum901,12-02-2025,388.43,388.43
Diesel,Aurum902,12-02-2025,312.63,312.63
Diesel,Aurum903,12-02-2025,293.85,293.85
Diesel,Aurum904,12-02-2025,409.39,409.39
Diesel,Aurum905,12-02-2025,350.55,350.55
Diesel,Aurum906,12-02-2025,321.25,321.25
Diesel,Aurum907,12-02-2025,401.95,401.95
Diesel,Aurum908,12-02-2025,167.99,167.99
Diesel,Aurum909,12-02-2025,229.01,229.01
Diesel,Aurum910,12-02-2025,333.32,333.32
Diesel,Aurum1001,12-02-2025,541.89,541.89
Diesel,Aurum1002,12-02-2025,276.53,276.53
Diesel,Aurum1003,12-02-2025,206.03,206.03
Diesel,Aurum1004,12-02-2025,299.99,299.99
Diesel,Aurum1005,12-02-2025,35.79,35.79
Diesel,Aurum1006,12-02-2025,705.76,705.76
Diesel,Aurum1007,12-02-2025,327.95,327.95
Diesel,Aurum1008,12-02-2025,207.33,207.33
Diesel,Aurum1009,12-02-2025,384.21,384.21
Diesel,Aurum1010,12-02-2025,103.6,103.6
Diesel,Aurum1101,12-02-2025,271.87,271.87
Diesel,Aurum1102,12-02-2025,10.25,10.25
Diesel,Aurum1103,12-02-2025,215.73,215.73
Diesel,Aurum1104,12-02-2025,499.1,499.1
Diesel,Aurum1105,12-02-2025,13.95,13.95
Diesel,Aurum1106,12-02-2025,533.88,533.88
Diesel,Aurum1107,12-02-2025,39.13,39.13
Diesel,Aurum1108,12-02-2025,46.63,46.63
Diesel,Aurum1109,12-02-2025,360.73,360.73
Diesel,Aurum1110,12-02-2025,263.85,263.85
Diesel,Aurum1201,12-02-2025,942.45,942.45
Diesel,Aurum1202,12-02-2025,565.4,565.4
Diesel,Aurum1203,12-02-2025,599.37,599.37
Diesel,Aurum1204,12-02-2025,831.74,831.74
Diesel,Aurum1205,12-02-2025,536.84,536.84
Diesel,Aurum1206,12-02-2025,365.89,365.89
Diesel,Aurum1207,12-02-2025,636.18,636.18
Diesel,Aurum1208,12-02-2025,336.5,336.5
Diesel,Aurum1209,12-02-2025,257.64,257.64
Diesel,Aurum1210,12-02-2025,533.38,533.38
Diesel,Aurum1301,12-02-2025,33.81,33.81
Diesel,Aurum1302,12-02-2025,422.31,422.31
Diesel,Aurum1303,12-02-2025,277.66,277.66
Diesel,Aurum1304,12-02-2025,125.75,125.75
Diesel,Aurum1305,12-02-2025,368.71,368.71
Diesel,Aurum1306,12-02-2025,403.23,403.23
Diesel,Aurum1307,12-02-2025,361.58,361.58
Diesel,Aurum1308,12-02-2025,398.24,398.24
Diesel,Aurum1309,12-02-2025,94.9,94.9
Diesel,Aurum1310,12-02-2025,517.31,517.31
Diesel,Aurum1401,12-02-2025,427.29,427.29
Diesel,Aurum1402,12-02-2025,365.63,365.63
Diesel,Aurum1403,12-02-2025,225.96,225.96
Diesel,Aurum1404,12-02-2025,245.12,245.12
Diesel,Aurum1405,12-02-2025,162.48,162.48
Diesel,Aurum1406,12-02-2025,314.86,314.86
Diesel,Aurum1407,12-02-2025,335.5,335.5
Diesel,Aurum1408,12-02-2025,513.38,513.38
Diesel,Aurum1409,12-02-2025,323.2,323.2
Diesel,Aurum1410,12-02-2025,596.2,596.2
Diesel,Aurum1501,12-02-2025,390.12,390.12
Diesel,Aurum1502,12-02-2025,405.5,405.5
Diesel,Aurum1503,12-02-2025,423.01,423.01
Diesel,Aurum1504,12-02-2025,243.69,243.69
Diesel,Aurum1505,12-02-2025,41.17,41.17
Diesel,Aurum1506,12-02-2025,488.91,488.91
Diesel,Aurum1507,12-02-2025,0.0,0.0
Diesel,Aurum1508,12-02-2025,382.02,382.02
Diesel,Aurum1509,12-02-2025,520.58,520.58
Diesel,Aurum1510,12-02-2025,485.77,485.77
Diesel,Aurum1601,12-02-2025,357.23,357.23
Diesel,Aurum1602,12-02-2025,110.06,110.06
Diesel,Aurum1603,12-02-2025,276.01,276.01
Diesel,Aurum1604,12-02-2025,323.09,323.09
Diesel,Aurum1605,12-02-2025,200.26,200.26
Diesel,Aurum1606,12-02-2025,38.0,38.0
Diesel,Aurum1607,12-02-2025,46.34,46.34
Diesel,Aurum1608,12-02-2025,627.98,627.98
Diesel,Aurum1609,12-02-2025,88.57,88.57
Diesel,Aurum1610,12-02-2025,454.99,454.99
Diesel,Aurum1701,12-02-2025,0.0,0.0
Diesel,Aurum1702,12-02-2025,181.4,181.4
Diesel,Aurum1703,12-02-2025,494.2,494.2
Diesel,Aurum1704,12-02-2025,386.21,386.21
Diesel,Aurum1705,12-02-2025,338.98,338.98
Diesel,Aurum1706,12-02-2025,14.42,14.42
Diesel,Aurum1707,12-02-2025,490.16,490.16
Diesel,Aurum1708,12-02-2025,542.36,542.36
Diesel,Aurum1709,12-02-2025,343.89,343.89
Diesel,Aurum1710,12-02-2025,241.05,241.05
Diesel,Aurum1801,12-02-2025,393.23,393.23
Diesel,Aurum1802,12-02-2025,632.79,632.79
Diesel,Aurum1803,12-02-2025,269.89,269.89
Diesel,Aurum1804,12-02-2025,357.32,357.32
Diesel,Aurum1805,12-02-2025,239.08,239.08
Diesel,Aurum1806,12-02-2025,514.58,514.58
Diesel,Aurum1807,12-02-2025,474.45,474.45
Diesel,Aurum1808,12-02-2025,194.35,194.35
Diesel,Aurum1809,12-02-2025,384.39,384.39
Diesel,Aurum1810,12-02-2025,1294.85,1294.85
Diesel,Aurum1901,12-02-2025,470.22,470.22
Diesel,Aurum1902,12-02-2025,249.93,249.93
Diesel,Aurum1903,12-02-2025,212.8,212.8
Diesel,Aurum1904,12-02-2025,464.19,464.19
Diesel,Aurum1905,12-02-2025,326.9,326.9
Diesel,Aurum1906,12-02-2025,67.94,67.94
Diesel,Aurum1907,12-02-2025,531.88,531.88
Diesel,Aurum1908,12-02-2025,409.29,409.29
Diesel,Aurum1909,12-02-2025,238.62,238.62
Diesel,Aurum1910,12-02-2025,697.15,697.15
Diesel,AurumG001,12-07-2025,0.0,274.17
Diesel,AurumG002,12-07-2025,0.0,103.07
Diesel,AurumG003,12-07-2025,0.0,195.76
Diesel,AurumG004,12-07-2025,0.0,275.84
Diesel,AurumG005,12-07-2025,0.0,489.33
Diesel,AurumG006,12-07-2025,0.0,35.83
Diesel,AurumG007,12-07-2025,0.0,358.54
Diesel,AurumG008,12-07-2025,0.0,0.0
Diesel,AurumG009,12-07-2025,0.0,328.06
Diesel,AurumG010,12-07-2025,0.0,132.39
Diesel,Aurum101,12-07-2025,0.0,413.88
Diesel,Aurum102,12-07-2025,0.0,543.92
Diesel,Aurum103,12-07-2025,0.0,210.26
Diesel,Aurum104,12-07-2025,0.0,388.77
Diesel,Aurum105,12-07-2025,0.0,25.59
Diesel,Aurum106,12-07-2025,0.0,510.67
Diesel,Aurum107,12-07-2025,0.0,589.1
Diesel,Aurum108,12-07-2025,0.0,616.65
Diesel,Aurum109,12-07-2025,0.0,205.19
Diesel,Aurum110,12-07-2025,0.0,421.57
Diesel,Aurum201,12-07-2025,0.0,334.94
Diesel,Aurum202,12-07-2025,0.0,239.96
Diesel,Aurum203,12-07-2025,0.0,319.67
Diesel,Aurum204,12-07-2025,0.0,414.37
Diesel,Aurum205,12-07-2025,0.0,62.92
Diesel,Aurum206,12-07-2025,0.0,696.52
Diesel,Aurum207,12-07-2025,0.0,446.32
Diesel,Aurum208,12-07-2025,0.0,163.31
Diesel,Aurum209,12-07-2025,0.0,431.49
Diesel,Aurum210,12-07-2025,0.0,584.01
Diesel,Aurum301,12-07-2025,0.0,369.66
Diesel,Aurum302,12-07-2025,0.0,403.47
Diesel,Aurum303,12-07-2025,0.0,353.26
Diesel,Aurum304,12-07-2025,0.0,129.94
Diesel,Aurum305,12-07-2025,0.0,526.96
Diesel,Aurum306,12-07-2025,0.0,356.85
Diesel,Aurum307,12-07-2025,0.0,406.89
Diesel,Aurum308,12-07-2025,0.0,170.09
Diesel,Aurum309,12-07-2025,0.0,268.72
Diesel,Aurum310,12-07-2025,0.0,404.94
Diesel,Aurum401,12-07-2025,0.0,689.43
Diesel,Aurum402,12-07-2025,0.0,339.62
Diesel,Aurum403,12-07-2025,0.0,314.9
Diesel,Aurum404,12-07-2025,0.0,377.67
Diesel,Aurum405,12-07-2025,0.0,795.94
Diesel,Aurum406,12-07-2025,0.0,60.22
Diesel,Aurum407,12-07-2025,0.0,608.49
Diesel,Aurum408,12-07-2025,0.0,268.39
Diesel,Aurum409,12-07-2025,0.0,328.58
Diesel,Aurum410,12-07-2025,0.0,534.45
Diesel,Aurum501,12-07-2025,0.0,472.09
Diesel,Aurum502,12-07-2025,0.0,274.77
Diesel,Aurum503,12-07-2025,0.0,198.51
Diesel,Aurum504,12-07-2025,0.0,414.89
Diesel,Aurum505,12-07-2025,0.0,524.8
Diesel,Aurum506,12-07-2025,0.0,613.38
Diesel,Aurum507,12-07-2025,0.0,564.2
Diesel,Aurum508,12-07-2025,0.0,202.03
Diesel,Aurum509,12-07-2025,0.0,337.2
Diesel,Aurum510,12-07-2025,0.0,39.79
Diesel,Aurum601,12-07-2025,0.0,726.68
Diesel,Aurum602,12-07-2025,0.0,7.58
Diesel,Aurum603,12-07-2025,0.0,322.81
Diesel,Aurum604,12-07-2025,0.0,324.34
Diesel,Aurum605,12-07-2025,0.0,458.41
Diesel,Aurum606,12-07-2025,0.0,585.64
Diesel,Aurum607,12-07-2025,0.0,622.35
Diesel,Aurum608,12-07-2025,0.0,358.04
Diesel,Aurum609,12-07-2025,0.0,23.34
Diesel,Aurum610,12-07-2025,0.0,443.11
Diesel,Aurum701,12-07-2025,0.0,303.42
Diesel,Aurum702,12-07-2025,0.0,304.08
Diesel,Aurum703,12-07-2025,0.0,472.26
Diesel,Aurum704,12-07-2025,0.0,244.19
Diesel,Aurum705,12-07-2025,0.0,309.96
Diesel,Aurum706,12-07-2025,0.0,378.19
Diesel,Aurum707,12-07-2025,0.0,375.11
Diesel,Aurum708,12-07-2025,0.0,294.21
Diesel,Aurum709,12-07-2025,0.0,482.56
Diesel,Aurum710,12-07-2025,0.0,684.44
Diesel,Aurum801,12-07-2025,0.0,398.51
Diesel,Aurum802,12-07-2025,0.0,355.68
Diesel,Aurum803,12-07-2025,0.0,174.67
Diesel,Aurum804,12-07-2025,0.0,389.14
Diesel,Aurum805,12-07-2025,0.0,233.16
Diesel,Aurum806,12-07-2025,0.0,601.48
Diesel,Aurum807,12-07-2025,0.0,446.44
Diesel,Aurum808,12-07-2025,0.0,440.6
Diesel,Aurum809,12-07-2025,0.0,318.58
Diesel,Aurum810,12-07-2025,0.0,368.7
Diesel,Aurum901,12-07-2025,0.0,388.47
Diesel,Aurum902,12-07-2025,0.0,312.66
Diesel,Aurum903,12-07-2025,0.0,293.87
Diesel,Aurum904,12-07-2025,0.0,409.46
Diesel,Aurum905,12-07-2025,0.0,350.57
Diesel,Aurum906,12-07-2025,0.0,321.31
Diesel,Aurum907,12-07-2025,0.0,402.06
Diesel,Aurum908,12-07-2025,0.0,168.03
Diesel,Aurum909,12-07-2025,0.0,229.02
Diesel,Aurum910,12-07-2025,0.0,333.39
Diesel,Aurum1001,12-07-2025,0.0,541.96
Diesel,Aurum1002,12-07-2025,0.0,276.61
Diesel,Aurum1003,12-07-2025,0.0,206.04
Diesel,Aurum1004,12-07-2025,0.0,300.09
Diesel,Aurum1005,12-07-2025,0.0,35.98
Diesel,Aurum1006,12-07-2025,0.0,705.83
Diesel,Aurum1007,12-07-2025,0.0,328.01
Diesel,Aurum1008,12-07-2025,0.0,207.4
Diesel,Aurum1009,12-07-2025,0.0,384.24
Diesel,Aurum1010,12-07-2025,0.0,103.75
Diesel,Aurum1101,12-07-2025,0.0,271.9
Diesel,Aurum1102,12-07-2025,0.0,10.5
Diesel,Aurum1103,12-07-2025,0.0,215.76
Diesel,Aurum1104,12-07-2025,0.0,499.23
Diesel,Aurum1105,12-07-2025,0.0,14.32
Diesel,Aurum1106,12-07-2025,0.0,533.95
Diesel,Aurum1107,12-07-2025,0.0,39.65
Diesel,Aurum1108,12-07-2025,0.0,46.69
Diesel,Aurum1109,12-07-2025,0.0,360.87
Diesel,Aurum1110,12-07-2025,0.0,263.88
Diesel,Aurum1201,12-07-2025,0.0,942.75
Diesel,Aurum1202,12-07-2025,0.0,565.59
Diesel,Aurum1203,12-07-2025,0.0,599.38
Diesel,Aurum1204,12-07-2025,0.0,831.79
Diesel,Aurum1205,12-07-2025,0.0,537.04
Diesel,Aurum1206,12-07-2025,0.0,366.18
Diesel,Aurum1207,12-07-2025,0.0,636.39
